,ID,Line,Condition,Path,Cyt,Mem_tot,Mem_ant,Mem_post,Dosage_af,Dosage_sub,Genotype
70,70,nwg325,11180930par2,"/Users/blandt/Desktop/Data/Rundowns/PAR-2 RUNDOWN/Experiment/211118_nwg325_11180930par2_tom4,15,60/01",2565.7184757969926,5644.672242929985,1082.2469676389178,14202.56628175318,3601.9985934515025,4185.282175706761,Wild type
71,71,nwg325,11180930par2,"/Users/blandt/Desktop/Data/Rundowns/PAR-2 RUNDOWN/Experiment/211118_nwg325_11180930par2_tom4,15,60/02",3024.819082413981,7152.873719784395,930.278789382451,17659.71835142895,4384.502523727089,4515.132778993211,Wild type
72,72,nwg325,11180930par2,"/Users/blandt/Desktop/Data/Rundowns/PAR-2 RUNDOWN/Experiment/211118_nwg325_11180930par2_tom4,15,60/03",2543.9992341763627,5205.107929803164,685.9785929313957,13197.528816270922,3503.1949589880514,3790.0482310824027,Wild type
73,73,nwg325,11180930par2,"/Users/blandt/Desktop/Data/Rundowns/PAR-2 RUNDOWN/Experiment/211118_nwg325_11180930par2_tom4,15,60/04",2528.038958201921,6854.470304828886,488.3085217329951,18171.232175225225,3964.138604517841,4563.51184731556,Wild type
74,74,nwg325,11180930par2,"/Users/blandt/Desktop/Data/Rundowns/PAR-2 RUNDOWN/Experiment/211118_nwg325_11180930par2_tom4,15,60/05",2278.683538362561,6539.977959904439,603.9274037031133,15776.907433774333,3688.88785008084,4092.883206175504,Wild type
75,75,nwg325,11180930par2,"/Users/blandt/Desktop/Data/Rundowns/PAR-2 RUNDOWN/Experiment/211118_nwg325_11180930par2_tom4,15,60/06",2239.5095790314813,5262.228328306714,584.3653702681456,12679.663855451487,3280.4890032499134,3305.423038209632,Wild type
76,76,nwg325,11180930par2,"/Users/blandt/Desktop/Data/Rundowns/PAR-2 RUNDOWN/Experiment/211118_nwg325_11180930par2_tom4,15,60/07",2899.391631787028,7079.7963190181335,978.1886133898539,17437.241859047645,4252.001107680699,4680.1471062622495,Wild type
77,77,nwg325,11180930par2,"/Users/blandt/Desktop/Data/Rundowns/PAR-2 RUNDOWN/Experiment/211118_nwg325_11180930par2_tom4,15,60/08",1072.6373074516198,829.18587311498,227.10485230699314,2270.9676590631284,1131.739915933388,1072.927618759014,Wild type
78,78,nwg325,11180930par2,"/Users/blandt/Desktop/Data/Rundowns/PAR-2 RUNDOWN/Experiment/211118_nwg325_11180930par2_tom4,15,60/09",1697.6281117283,2556.497550223537,529.5631024238867,6366.383431902899,2140.2536262424783,2120.677385296317,Wild type
79,79,nwg325,11180930par2,"/Users/blandt/Desktop/Data/Rundowns/PAR-2 RUNDOWN/Experiment/211118_nwg325_11180930par2_tom4,15,60/10",1223.0075280315227,886.2201416891006,231.80537891179475,2207.493976598709,1268.3144731357236,1090.0543295626949,Wild type
